<pet_cat11> <pet_cat12>, 0, [8.5435791015625, 82.41975402832031, 497.13873291015625, 511.7216796875]
<pet_cat11> <pet_cat12>, 1, [28.5999755859375, 0.0323638916015625, 485.4965515136719, 511.9010009765625]
<pet_cat11> <pet_cat12>, 2, [20.351531982421875, 33.792388916015625, 470.4723815917969, 512.09033203125]
<pet_cat11> <pet_cat12>, 3, [33.96435546875, 68.20860290527344, 477.22412109375, 509.29022216796875]
<pet_cat11> <pet_cat12>, 4, [50.04100036621094, 68.21717834472656, 486.3785400390625, 488.0078125]
<pet_cat11> <pet_cat12>, 0, [8.5435791015625, 82.41975402832031, 497.13873291015625, 511.7216796875]
<pet_cat11> <pet_cat12>, 1, [28.5999755859375, 0.0323638916015625, 485.4965515136719, 511.9010009765625]
<pet_cat11> <pet_cat12>, 2, [20.351531982421875, 33.792388916015625, 470.4723815917969, 512.09033203125]
<pet_cat11> <pet_cat12>, 3, [33.96435546875, 68.20860290527344, 477.22412109375, 509.29022216796875]
<pet_cat11> <pet_cat12>, 0, [8.5435791015625, 82.41975402832031, 497.13873291015625, 511.7216796875]
<pet_cat11> <pet_cat12>, 1, [28.5999755859375, 0.0323638916015625, 485.4965515136719, 511.9010009765625]
<pet_cat11> <pet_cat12>, 2, [20.351531982421875, 33.792388916015625, 470.4723815917969, 512.09033203125]
<pet_cat11> <pet_cat12>, 3, [33.96435546875, 68.20860290527344, 477.22412109375, 509.29022216796875]
<pet_cat11> <pet_cat12>, 0, [8.5435791015625, 82.41975402832031, 497.13873291015625, 511.7216796875]
<pet_cat11> <pet_cat12>, 1, [28.5999755859375, 0.0323638916015625, 485.4965515136719, 511.9010009765625]
<pet_cat11> <pet_cat12>, 2, [20.351531982421875, 33.792388916015625, 470.4723815917969, 512.09033203125]
<pet_cat11> <pet_cat12>, 3, [33.96435546875, 68.20860290527344, 477.22412109375, 509.29022216796875]
<pet_cat11> <pet_cat12>, 4, [50.04100036621094, 68.21717834472656, 486.3785400390625, 488.0078125]
<pet_cat11> <pet_cat12>, 0, [8.5435791015625, 82.41975402832031, 497.13873291015625, 511.7216796875]
<pet_cat11> <pet_cat12>, 1, [28.5999755859375, 0.0323638916015625, 485.4965515136719, 511.9010009765625]
<pet_cat11> <pet_cat12>, 2, [20.351531982421875, 33.792388916015625, 470.4723815917969, 512.09033203125]
<pet_cat11> <pet_cat12>, 3, [33.96435546875, 68.20860290527344, 477.22412109375, 509.29022216796875]
<pet_cat11> <pet_cat12>, 4, [50.04100036621094, 68.21717834472656, 486.3785400390625, 488.0078125]
<pet_cat11> <pet_cat12>, 0, [8.5435791015625, 82.41975402832031, 497.13873291015625, 511.7216796875]
<pet_cat11> <pet_cat12>, 1, [28.5999755859375, 0.0323638916015625, 485.4965515136719, 511.9010009765625]
<pet_cat11> <pet_cat12>, 2, [20.351531982421875, 33.792388916015625, 470.4723815917969, 512.09033203125]
<pet_cat11> <pet_cat12>, 3, [33.96435546875, 68.20860290527344, 477.22412109375, 509.29022216796875]
<pet_cat11> <pet_cat12>, 4, [50.04100036621094, 68.21717834472656, 486.3785400390625, 488.0078125]
<pet_cat11> <pet_cat12>, 0, [8.5435791015625, 82.41975402832031, 497.13873291015625, 511.7216796875]
<pet_cat11> <pet_cat12>, 1, [28.5999755859375, 0.0323638916015625, 485.4965515136719, 511.9010009765625]
<pet_cat11> <pet_cat12>, 2, [20.351531982421875, 33.792388916015625, 470.4723815917969, 512.09033203125]
<pet_cat11> <pet_cat12>, 3, [33.96435546875, 68.20860290527344, 477.22412109375, 509.29022216796875]
<pet_cat11> <pet_cat12>, 4, [50.04100036621094, 68.21717834472656, 486.3785400390625, 488.0078125]
