<dog61> <dog62>, 0, [2.3346405029296875, 70.47604370117188, 509.07073974609375, 405.3164367675781]
<dog61> <dog62>, 1, [17.56195068359375, 48.16888427734375, 501.91534423828125, 505.98193359375]
<dog61> <dog62>, 2, [-0.0407562255859375, 66.28269958496094, 508.602294921875, 463.2105712890625]
<dog61> <dog62>, 3, [9.806884765625, 47.54302978515625, 510.853515625, 507.58612060546875]
<dog61> <dog62>, 4, [0.0272674560546875, 86.36502075195312, 505.8763732910156, 422.4849853515625]
<dog61> <dog62>, 0, [2.3346405029296875, 70.47604370117188, 509.07073974609375, 405.3164367675781]
<dog61> <dog62>, 1, [17.56195068359375, 48.16888427734375, 501.91534423828125, 505.98193359375]
<dog61> <dog62>, 2, [-0.0407562255859375, 66.28269958496094, 508.602294921875, 463.2105712890625]
<dog61> <dog62>, 3, [9.806884765625, 47.54302978515625, 510.853515625, 507.58612060546875]
<dog61> <dog62>, 4, [0.0272674560546875, 86.36502075195312, 505.8763732910156, 422.4849853515625]
<dog61> <dog62>, 0, [2.3346405029296875, 70.47604370117188, 509.07073974609375, 405.3164367675781]
<dog61> <dog62>, 1, [17.56195068359375, 48.16888427734375, 501.91534423828125, 505.98193359375]
<dog61> <dog62>, 2, [-0.0407562255859375, 66.28269958496094, 508.602294921875, 463.2105712890625]
<dog61> <dog62>, 3, [9.806884765625, 47.54302978515625, 510.853515625, 507.58612060546875]
<dog61> <dog62>, 4, [0.0272674560546875, 86.36502075195312, 505.8763732910156, 422.4849853515625]
