<dog1> <dog2>, 0, [16.255218505859375, 120.38076782226562, 496.7496032714844, 472.955078125]
<dog1> <dog2>, 1, [47.85591125488281, 19.77203369140625, 479.087158203125, 476.88677978515625]
<dog1> <dog2>, 2, [-0.08062744140625, 62.78327941894531, 484.8556823730469, 512.01904296875]
<dog1> <dog2>, 3, [33.94172668457031, 31.917129516601562, 505.43536376953125, 448.6583251953125]
<dog1> <dog2>, 4, [41.26991271972656, 68.66966247558594, 483.012451171875, 469.9662170410156]
<dog1> <dog2>, 0, [16.255218505859375, 120.38076782226562, 496.7496032714844, 472.955078125]
<dog1> <dog2>, 1, [47.85591125488281, 19.77203369140625, 479.087158203125, 476.88677978515625]
<dog1> <dog2>, 2, [-0.08062744140625, 62.78327941894531, 484.8556823730469, 512.01904296875]
<dog1> <dog2>, 3, [33.94172668457031, 31.917129516601562, 505.43536376953125, 448.6583251953125]
<dog1> <dog2>, 0, [16.255218505859375, 120.38076782226562, 496.7496032714844, 472.955078125]
<dog1> <dog2>, 1, [47.85591125488281, 19.77203369140625, 479.087158203125, 476.88677978515625]
<dog1> <dog2>, 2, [-0.08062744140625, 62.78327941894531, 484.8556823730469, 512.01904296875]
<dog1> <dog2>, 3, [33.94172668457031, 31.917129516601562, 505.43536376953125, 448.6583251953125]
<dog1> <dog2>, 0, [16.255218505859375, 120.38076782226562, 496.7496032714844, 472.955078125]
<dog1> <dog2>, 1, [47.85591125488281, 19.77203369140625, 479.087158203125, 476.88677978515625]
<dog1> <dog2>, 2, [-0.08062744140625, 62.78327941894531, 484.8556823730469, 512.01904296875]
<dog1> <dog2>, 3, [33.94172668457031, 31.917129516601562, 505.43536376953125, 448.6583251953125]
<dog1> <dog2>, 4, [41.26991271972656, 68.66966247558594, 483.012451171875, 469.9662170410156]
<dog1> <dog2>, 0, [16.255218505859375, 120.38076782226562, 496.7496032714844, 472.955078125]
<dog1> <dog2>, 1, [47.85591125488281, 19.77203369140625, 479.087158203125, 476.88677978515625]
<dog1> <dog2>, 2, [-0.08062744140625, 62.78327941894531, 484.8556823730469, 512.01904296875]
<dog1> <dog2>, 3, [33.94172668457031, 31.917129516601562, 505.43536376953125, 448.6583251953125]
<dog1> <dog2>, 4, [41.26991271972656, 68.66966247558594, 483.012451171875, 469.9662170410156]
<dog1> <dog2>, 0, [16.255218505859375, 120.38076782226562, 496.7496032714844, 472.955078125]
<dog1> <dog2>, 1, [47.85591125488281, 19.77203369140625, 479.087158203125, 476.88677978515625]
<dog1> <dog2>, 2, [-0.08062744140625, 62.78327941894531, 484.8556823730469, 512.01904296875]
<dog1> <dog2>, 3, [33.94172668457031, 31.917129516601562, 505.43536376953125, 448.6583251953125]
<dog1> <dog2>, 4, [41.26991271972656, 68.66966247558594, 483.012451171875, 469.9662170410156]
<dog1> <dog2>, 0, [16.255218505859375, 120.38076782226562, 496.7496032714844, 472.955078125]
<dog1> <dog2>, 1, [47.85591125488281, 19.77203369140625, 479.087158203125, 476.88677978515625]
<dog1> <dog2>, 2, [-0.08062744140625, 62.78327941894531, 484.8556823730469, 512.01904296875]
<dog1> <dog2>, 3, [33.94172668457031, 31.917129516601562, 505.43536376953125, 448.6583251953125]
<dog1> <dog2>, 4, [41.26991271972656, 68.66966247558594, 483.012451171875, 469.9662170410156]
